Basin,Stem,Station,Date---,Species,Average,Minimum,Maximum,Body,Town,Latitude,Longitude,,,,,,,
1,1,2,1121004,lmb,0.0,0,0,Blackstone River/Valley Falls,Cumberland/Lincoln/Central Falls,,,,,,,,,
1,1,2,1121004,npike,980.0,980,980,Blackstone River/Valley Falls,Cumberland/Lincoln/Central Falls,,,,,,,,,
1,1,2,1121004,rbass,158.0,158,158,Blackstone River/Valley Falls,Cumberland/Lincoln/Central Falls,,,,,,,,,
1,1,2,1121004,wtsuck,0.0,0,0,Blackstone River/Valley Falls,Cumberland/Lincoln/Central Falls,,,,,,,,,
1,1,2,1121004,yperch,0.0,0,0,Blackstone River/Valley Falls,Cumberland/Lincoln/Central Falls,,,,,,,,,
1,1,3,931018,brktrt,146.0,102,190,Crookfall Brk/Old Smithfield Rd,North Smithfield/Lincoln town line,41.955833,-71.485833,,,,,,,
1,1,3,931018,fllfsh,0.0,0,0,Crookfall Brk/Old Smithfield Rd,North Smithfield/Lincoln town line,41.955833,-71.485833,,,,,,,
1,1,3,931018,rdfnpick,182.0,182,182,Crookfall Brk/Old Smithfield Rd,North Smithfield/Lincoln town line,41.955833,-71.485833,,,,,,,
1,1,3,931028,brktrt,116.0,115,117,Crookfall Brk/Old Smithfield Rd,North Smithfield/Lincoln town line,41.955833,-71.485833,,,,,,,
1,1,3,931028,fllfsh,0.0,0,0,Crookfall Brk/Old Smithfield Rd,North Smithfield/Lincoln town line,41.955833,-71.485833,,,,,,,
1,1,3,940817,lmb,305.0,305,305,Crookfall Brk/Old Smithfield Rd,North Smithfield/Lincoln Town Line,41.955833,-71.485833,,,,,,,
1,1,3,940825,brktrt,208.5,197,220,Crookfall Brk/Old Smithfield Rd,North Smithfield/Lincoln Town Line,41.955833,-71.485833,,,,,,,
1,1,3,940825,fllfsh,91.3,40,165,Crookfall Brk/Old Smithfield Rd,North Smithfield/Lincoln Town Line,41.955833,-71.485833,,,,,,,
