Basin,Stem,Station,Date,Species,Average,Minimum,Maximum,Body,Town,Latitude,Longitude,,,,,,,,
2,1,12,930825,chnpick,121.6,115,130,Warwick Bk/Cahoone Rd,Coventry,41.70701,-71.73490,,,,,,,,
2,1,12,930825,cmnshnr,107.7,100,112,Warwick Bk/Cahoone Rd,Coventry,41.70701,-71.73490,,,,,,,,
2,1,12,930825,gldshnr,47.6,42,55,Warwick Bk/Cahoone Rd,Coventry,41.70701,-71.73490,,,,,,,,
2,1,12,930825,wtsuck,49.1,30,144,Warwick Bk/Cahoone Rd,Coventry,41.70701,-71.73490,,,,,,,,
2,1,13,930903,lmb,66.2,61,74,Roaring Bk/Narrow Rd.,Coventry,41.65889,-71.74056,,,,,,,,
2,1,13,930903,pmpknsd,73.3,71,76,Roaring Bk/Narrow Rd.,Coventry,41.65889,-71.74056,,,,,,,,
2,1,14,930723,brktrt,102.8,53,170,Trib/Cucumberhill Rd,Foster,41.79023,-71.79106,,,,,,,,
2,1,15,930920,chnpick,191.2,166,256,West Meadow Bk./Johnson Rd.,Foster,41.74535,-71.74744,,,,,,,,
2,1,15,930920,gldshnr,133.0,126,140,West Meadow Bk./Johnson Rd.,Foster,41.74535,-71.74744,,,,,,,,
2,1,15,930920,yperch,135.4,118,151,West Meadow Bk./Johnson Rd.,Foster,41.74535,-71.74744,,,,,,,,
2,2,1,930426,blgl,150.4,80,180,Lake Washington,Glocester,41.91667,-71.75750,,,,,,,,
2,2,1,930426,brbull,344.0,344,344,Lake Washington,Glocester,41.91667,-71.75750,,,,,,,,
2,2,1,930426,chnpick,276.5,263,290,Lake Washington,Glocester,41.91667,-71.75750,,,,,,,,
2,2,1,930426,gldshnr,103.6,55,195,Lake Washington,Glocester,41.91667,-71.75750,,,,,,,,
2,2,1,930426,lmb,238.6,102,462,Lake Washington,Glocester,41.91667,-71.75750,,,,,,,,
2,2,1,930426,pmpknsd,147.4,120,165,Lake Washington,Glocester,41.91667,-71.75750,,,,,,,,
2,2,1,930426,yperch,170.3,100,258,Lake Washington,Glocester,41.91667,-71.75750,,,,,,,,
