Basin,Stem,Station,Date,Species,Average,Minimum,Maximum,Body,Town,Latitude,Longitude,,,,,,,
7,0,4,970827,eel,268.2,95,900,Hunt R/Potowomut Rd,East Greenwich/N.Kingstown,41.62988,-71.45322,,,,,,,
7,0,4,970827,lmb,66.0,60,72,Hunt R/Potowomut Rd,East Greenwich/N.Kingstown,41.62988,-71.45322,,,,,,,
7,0,4,970827,lngndc,40.0,40,40,Hunt R/Potowomut Rd,East Greenwich/N.Kingstown,41.62988,-71.45322,,,,,,,
7,0,4,970827,pmpknsd,146.2,100,201,Hunt R/Potowomut Rd,East Greenwich/N.Kingstown,41.62988,-71.45322,,,,,,,
7,0,4,970827,swmpdtr,50.0,50,50,Hunt R/Potowomut Rd,East Greenwich/N.Kingstown,41.62988,-71.45322,,,,,,,
7,0,4,970827,wtsuck,172.7,165,185,Hunt R/Potowomut Rd,East Greenwich/N.Kingstown,41.62988,-71.45322,,,,,,,
7,0,4,1120912,blgl,0.0,0,0,Hunt River/Potowomut Road,East Greenwich/North Kingstown,,,,,,,,,
7,0,4,1120912,bndsnfsh,52.0,52,52,Hunt River/Potowomut Road,East Greenwich/North Kingstown,,,,,,,,,
7,0,4,1120912,brbull,0.0,0,0,Hunt River/Potowomut Road,East Greenwich/North Kingstown,,,,,,,,,
7,0,4,1120912,eel,0.0,0,0,Hunt River/Potowomut Road,East Greenwich/North Kingstown,,,,,,,,,
7,0,4,1120912,lmb,95.0,95,95,Hunt River/Potowomut Road,East Greenwich/North Kingstown,,,,,,,,,
7,0,4,1120912,lngndc,0.0,0,0,Hunt River/Potowomut Road,East Greenwich/North Kingstown,,,,,,,,,
7,0,4,1120912,pmpknsd,0.0,0,0,Hunt River/Potowomut Road,East Greenwich/North Kingstown,,,,,,,,,
7,0,4,1120912,swmpdtr,55.0,55,55,Hunt River/Potowomut Road,East Greenwich/North Kingstown,,,,,,,,,
7,0,4,1120912,wtsuck,81.0,81,81,Hunt River/Potowomut Road,East Greenwich/North Kingstown,,,,,,,,,
7,0,5,1040907,brktrt,122.0,70,215,Fry B./Col. Rodman Hwy (Rt4),East Greenwich,41.63195,-71.48637,,,,,,,
7,0,5,1040907,eel,188.6,100,300,Fry B./Col. Rodman Hwy (Rt4),East Greenwich,41.63195,-71.48637,,,,,,,
